"Type 1","Type 2","Type 3","Type 4","Type 5","taxon_id","Genus","subset","filtering"
FALSE,FALSE,TRUE,FALSE,FALSE,"858b9292b21db7fe07ea3cc766b912dc","Taibaiella","Total","No abundance filtering"
TRUE,TRUE,FALSE,FALSE,FALSE,"94ba1d038ff0bdf31a29042ca50df39d","Haoranjiania","Total","No abundance filtering"
FALSE,TRUE,FALSE,FALSE,FALSE,"ae7508e0c0f5db07a8e8242c6148c34d","Lacibacter","Total","No abundance filtering"
FALSE,TRUE,FALSE,FALSE,FALSE,"b4cc697fe846f736906b4d261b088dfd","Hymenobacter","Total","No abundance filtering"
FALSE,FALSE,FALSE,TRUE,FALSE,"35527ffa9f44ebbf586ab787211da1c3","Dyadobacter","Total","No abundance filtering"
FALSE,FALSE,FALSE,TRUE,FALSE,"a67325486802911e948473f4b8b71ebe","Spirosoma","Total","No abundance filtering"
FALSE,FALSE,FALSE,TRUE,FALSE,"1813a356c899840a7219062a1a3f47b5","Spirosomaceae_f","Total","No abundance filtering"
FALSE,FALSE,FALSE,FALSE,TRUE,"de2b4b14636d09e2d4611f822ab82457","Bacteroidia_c","Total","No abundance filtering"
TRUE,TRUE,TRUE,FALSE,FALSE,"b230581a663e0797c9116d2661cab125","Sphingobacterium","Total","No abundance filtering"
FALSE,FALSE,TRUE,TRUE,FALSE,"4ca87931296e46e2741cdfd5d76d51e4","Pedobacter","Total","No abundance filtering"
FALSE,FALSE,FALSE,TRUE,FALSE,"ad490013f6967a5e303129f81df260cb","Nubsella","Total","No abundance filtering"
TRUE,TRUE,FALSE,FALSE,FALSE,"fe278eabfc85664fcf6e9acd8162be2d","Porphyromonas","Total","No abundance filtering"
TRUE,TRUE,TRUE,TRUE,FALSE,"93e5a7a097bc4ddfb97c9908b7e32efd","Prevotellaceae_f","Total","No abundance filtering"
TRUE,TRUE,FALSE,TRUE,TRUE,"50a12e0b6a6399f107bdfcadc93a8cc4","Prevotella","Total","No abundance filtering"
TRUE,FALSE,FALSE,FALSE,FALSE,"300837fe392a9506546f1970bd365d4b","Prevotella_7","Total","No abundance filtering"
FALSE,FALSE,FALSE,TRUE,FALSE,"88098ab3f8048c851897dbd0bcb5cb7d","Prevotellaceae_UCG-001","Total","No abundance filtering"
TRUE,FALSE,FALSE,TRUE,FALSE,"05fcdbf22abe66e94b0ede4dfd85ca1e","Alloprevotella","Total","No abundance filtering"
TRUE,TRUE,TRUE,FALSE,TRUE,"b765346d065e508c6263c505decbb3f2","Muribaculaceae","Total","No abundance filtering"
FALSE,FALSE,FALSE,TRUE,FALSE,"a7d73d00201f5dfac32d5042e3aa7039","Rikenellaceae_RC9_gut_group","Total","No abundance filtering"
TRUE,FALSE,FALSE,TRUE,FALSE,"13fb1106cb988b93d742c82bb067cd7c","Alistipes","Total","No abundance filtering"
FALSE,TRUE,FALSE,FALSE,FALSE,"1422aef8849148a9b52ce185862dc22f","Capnocytophaga","Total","No abundance filtering"
TRUE,FALSE,TRUE,FALSE,FALSE,"1a7e4f61cb855f1cf44b93f02d1e46e3","Flavobacterium","Total","No abundance filtering"
FALSE,FALSE,TRUE,FALSE,FALSE,"b9879da874f023629c4384ada519ba98","Fluviicola","Total","No abundance filtering"
TRUE,FALSE,FALSE,FALSE,FALSE,"2f7ab09df42772d54308dfa6e66bdfd0","Empedobacter","Total","No abundance filtering"
TRUE,FALSE,FALSE,FALSE,FALSE,"c267dc0912cbc6475bb64ff0f47644b0","Bergeyella","Total","No abundance filtering"
TRUE,TRUE,TRUE,TRUE,TRUE,"41fbe47dd5c90d3ffeac5d5f7c2cc30d","Chryseobacterium","Total","No abundance filtering"
FALSE,FALSE,FALSE,FALSE,TRUE,"dc9e2860e3fa93f9e4bf136144d697d6","Weeksellaceae_f","Total","No abundance filtering"
TRUE,TRUE,TRUE,FALSE,FALSE,"fe00e9dc2b0d57671c5d87b12972291f","Cloacibacterium","Total","No abundance filtering"
FALSE,FALSE,TRUE,TRUE,TRUE,"205b8ebbe28117767c6974e1c4e05f03","LWQ8","Total","No abundance filtering"
TRUE,FALSE,TRUE,TRUE,FALSE,"d233b6edb8f37e7f43a781f4ed7c7a7e","Saccharimonadales_o","Total","No abundance filtering"
TRUE,TRUE,TRUE,TRUE,TRUE,"b76595ac6cd24bb842f1374a9733e373","Saccharimonadales","Total","No abundance filtering"
TRUE,FALSE,FALSE,FALSE,FALSE,"d28702f527ca84119434a5d089dea094","TM7x","Total","No abundance filtering"
FALSE,TRUE,FALSE,FALSE,FALSE,"92981a4f9e607d7f28d045957da39fcf","Saccharimonadaceae_f","Total","No abundance filtering"
TRUE,FALSE,TRUE,TRUE,TRUE,"d4841fd1d61b4703cdd6ce863db17fea","Saccharimonadaceae","Total","No abundance filtering"
