"filter_id","filter","distance_id","distance","variable_id","variable","n_samples","permutation_strata","Df","SumOfSqs","R2","F","p_value","error"
"mean_abundance_ge_1pct","Mean abundance >=1%","wunifrac","Weighted UniFrac","swab_type2","Sampling system",37,"Participant identity",4,0.124074117005897,0.0164866462192219,0.134104096550146,0.9965,NA
"mean_abundance_ge_1pct","Mean abundance >=1%","wunifrac","Weighted UniFrac","swab_material","Swab-tip material",37,"Participant identity",3,0.109366941261323,0.0145323949278492,0.162213697724378,0.9935,NA
"mean_abundance_ge_1pct","Mean abundance >=1%","wunifrac","Weighted UniFrac","collection_medium","Collection medium",37,"Participant identity",3,0.120922966912038,0.0160679295840783,0.179633564896556,0.9862,NA
"mean_abundance_ge_1pct","Mean abundance >=1%","unifrac","Unweighted UniFrac","subject_id","Participant identity",37,"None",4,0.915188124597065,0.685195270330333,17.4125788020866,1e-04,NA
"mean_abundance_ge_1pct","Mean abundance >=1%","unifrac","Unweighted UniFrac","site_group","Anatomical site",37,"Participant identity",1,0.10033210703564,0.0751179821453266,2.84266460405931,2e-04,NA
"mean_abundance_ge_1pct","Mean abundance >=1%","unifrac","Unweighted UniFrac","swab_type2","Sampling system",37,"Participant identity",4,0.0614647244018589,0.0460182309193025,0.385904489253692,0.8058,NA
"mean_abundance_ge_1pct","Mean abundance >=1%","unifrac","Unweighted UniFrac","swab_material","Swab-tip material",37,"Participant identity",3,0.034868706602161,0.0261059690398144,0.294863353002415,0.9043,NA
"mean_abundance_ge_1pct","Mean abundance >=1%","unifrac","Unweighted UniFrac","collection_medium","Collection medium",37,"Participant identity",3,0.0513294641299605,0.0384300288707572,0.439625123777405,0.7971,NA
"mean_abundance_ge_1pct","Mean abundance >=1%","bray","Bray-Curtis","subject_id","Participant identity",37,"None",4,4.10504848141562,0.494898296758526,7.83839442365815,1e-04,NA
"mean_abundance_ge_1pct","Mean abundance >=1%","bray","Bray-Curtis","site_group","Anatomical site",37,"Participant identity",1,1.25360694748945,0.151132914976741,6.23142552881643,1e-04,NA
"mean_abundance_ge_1pct","Mean abundance >=1%","bray","Bray-Curtis","swab_type2","Sampling system",37,"Participant identity",4,0.309212418720563,0.037278171026282,0.309773144469125,0.9804,NA
"mean_abundance_ge_1pct","Mean abundance >=1%","bray","Bray-Curtis","swab_material","Swab-tip material",37,"Participant identity",3,0.258747674041277,0.0311942194478295,0.354184936562367,0.9537,NA
"mean_abundance_ge_1pct","Mean abundance >=1%","bray","Bray-Curtis","collection_medium","Collection medium",37,"Participant identity",3,0.300291567385273,0.0362026869847517,0.413188075391499,0.8948,NA
