"filter_id","filter","sample_name","bray_curtis_to_unfiltered","composition_similarity","subject_id","site_group","swab_type2","Type"
"prevalence_ge_5","Prevalence >=5 samples","005AcCUSw",0.0879183210436755,0.912081678956325,"S005","Antecubital","Eswab","Type 5"
"prevalence_ge_5","Prevalence >=5 samples","005AcLUSw_3",0.0435595286468915,0.956440471353109,"S005","Antecubital","Puritan_buffer","Type 3"
"prevalence_ge_5","Prevalence >=5 samples","005AcLUSw_4",0.0629359543436906,0.937064045656309,"S005","Antecubital","Omni","Type 4"
"prevalence_ge_5","Prevalence >=5 samples","005AcRUSw_1",0.127086152458277,0.872913847541723,"S005","Antecubital","Copan","Type 1"
"prevalence_ge_5","Prevalence >=5 samples","005AcRUSw_2",0.139891195736649,0.860108804263351,"S005","Antecubital","Puritan_gel","Type 2"
"prevalence_ge_5","Prevalence >=5 samples","005FhCUSw",0.388679245283019,0.611320754716981,"S005","Forehead","Eswab","Type 5"
"prevalence_ge_5","Prevalence >=5 samples","005FhLUSw_3",0.113162393162393,0.886837606837607,"S005","Forehead","Puritan_buffer","Type 3"
"prevalence_ge_5","Prevalence >=5 samples","005FhLUSw_4",0.0170773152081563,0.982922684791844,"S005","Forehead","Omni","Type 4"
"prevalence_ge_5","Prevalence >=5 samples","005FhRUSw_1",0.0723031798500862,0.927696820149914,"S005","Forehead","Copan","Type 1"
"prevalence_ge_5","Prevalence >=5 samples","005FhRUSw_2",0.103212488711134,0.896787511288866,"S005","Forehead","Puritan_gel","Type 2"
"prevalence_ge_10pct","Prevalence >=10% samples","001AcCUSw",0.076564807452005,0.923435192547995,"S001","Antecubital","Eswab","Type 5"
"prevalence_ge_10pct","Prevalence >=10% samples","001AcLUSw_3",0.041071527816373,0.958928472183627,"S001","Antecubital","Puritan_buffer","Type 3"
"prevalence_ge_10pct","Prevalence >=10% samples","001AcLUSw_4",0.041925307825379,0.958074692174621,"S001","Antecubital","Omni","Type 4"
"prevalence_ge_10pct","Prevalence >=10% samples","001AcRUSw_1",0.0171963430561602,0.98280365694384,"S001","Antecubital","Copan","Type 1"
"prevalence_ge_10pct","Prevalence >=10% samples","001AcRUSw_2",0.0566290765010668,0.943370923498933,"S001","Antecubital","Puritan_gel","Type 2"
"prevalence_ge_10pct","Prevalence >=10% samples","001FhCUSw",0.00527505651846272,0.994724943481537,"S001","Forehead","Eswab","Type 5"
"prevalence_ge_10pct","Prevalence >=10% samples","001FhLUSw_3",0.00462262221313151,0.995377377786869,"S001","Forehead","Puritan_buffer","Type 3"
"prevalence_ge_10pct","Prevalence >=10% samples","001FhLUSw_4",0.000928628283364279,0.999071371716636,"S001","Forehead","Omni","Type 4"
"prevalence_ge_10pct","Prevalence >=10% samples","001FhRUSw_1",0.00151386129245907,0.998486138707541,"S001","Forehead","Copan","Type 1"
"prevalence_ge_10pct","Prevalence >=10% samples","001FhRUSw_2",0.00270771513353114,0.997292284866469,"S001","Forehead","Puritan_gel","Type 2"
"prevalence_ge_10pct","Prevalence >=10% samples","002AcCUSw",0.141030462579917,0.858969537420083,"S002","Antecubital","Eswab","Type 5"
"prevalence_ge_10pct","Prevalence >=10% samples","002AcLUSw_3",0.0812337289855711,0.918766271014429,"S002","Antecubital","Puritan_buffer","Type 3"
"prevalence_ge_10pct","Prevalence >=10% samples","002AcLUSw_4",0.292698116145103,0.707301883854897,"S002","Antecubital","Omni","Type 4"
"prevalence_ge_10pct","Prevalence >=10% samples","002AcRUSw_1",0.0504096342391547,0.949590365760845,"S002","Antecubital","Copan","Type 1"
"prevalence_ge_10pct","Prevalence >=10% samples","002AcRUSw_2",0.0666031395757057,0.933396860424294,"S002","Antecubital","Puritan_gel","Type 2"
"prevalence_ge_10pct","Prevalence >=10% samples","002FhCUSw",0.000381263616557774,0.999618736383442,"S002","Forehead","Eswab","Type 5"
