"sample_name","Observed","Shannon","subject_id","site_group","swab_type2","Type","filter_id","filter"
"004FhRUSw_1",147,3.11751163843383,"S004","Forehead","Copan","Type 1","remove_count_le_2","Remove count <=2"
"004FhRUSw_2",159,3.41849331479064,"S004","Forehead","Puritan_gel","Type 2","remove_count_le_2","Remove count <=2"
"005AcCUSw",32,2.16345077599624,"S005","Antecubital","Eswab","Type 5","remove_count_le_2","Remove count <=2"
"005AcLUSw_3",51,2.63798754968532,"S005","Antecubital","Puritan_buffer","Type 3","remove_count_le_2","Remove count <=2"
"005AcLUSw_4",55,2.40180997827116,"S005","Antecubital","Omni","Type 4","remove_count_le_2","Remove count <=2"
"005AcRUSw_1",37,1.85124440753178,"S005","Antecubital","Copan","Type 1","remove_count_le_2","Remove count <=2"
"005AcRUSw_2",24,1.96581755013277,"S005","Antecubital","Puritan_gel","Type 2","remove_count_le_2","Remove count <=2"
"005FhCUSw",100,3.06105150800391,"S005","Forehead","Eswab","Type 5","remove_count_le_2","Remove count <=2"
"005FhLUSw_3",87,2.42305420728638,"S005","Forehead","Puritan_buffer","Type 3","remove_count_le_2","Remove count <=2"
"005FhLUSw_4",29,1.03769004221338,"S005","Forehead","Omni","Type 4","remove_count_le_2","Remove count <=2"
"005FhRUSw_1",71,1.50305195459426,"S005","Forehead","Copan","Type 1","remove_count_le_2","Remove count <=2"
"005FhRUSw_2",89,2.3203982002342,"S005","Forehead","Puritan_gel","Type 2","remove_count_le_2","Remove count <=2"
"001AcCUSw",94,2.57014219803957,"S001","Antecubital","Eswab","Type 5","remove_count_le_10","Remove count <=10"
"001AcLUSw_3",91,2.67251694598922,"S001","Antecubital","Puritan_buffer","Type 3","remove_count_le_10","Remove count <=10"
"001AcLUSw_4",93,2.52527461130519,"S001","Antecubital","Omni","Type 4","remove_count_le_10","Remove count <=10"
"001AcRUSw_1",61,1.56414101470675,"S001","Antecubital","Copan","Type 1","remove_count_le_10","Remove count <=10"
"001AcRUSw_2",69,2.58907422436308,"S001","Antecubital","Puritan_gel","Type 2","remove_count_le_10","Remove count <=10"
"001FhCUSw",16,0.154598958025644,"S001","Forehead","Eswab","Type 5","remove_count_le_10","Remove count <=10"
"001FhLUSw_3",28,0.531550356868542,"S001","Forehead","Puritan_buffer","Type 3","remove_count_le_10","Remove count <=10"
"001FhLUSw_4",21,0.637313510813947,"S001","Forehead","Omni","Type 4","remove_count_le_10","Remove count <=10"
"001FhRUSw_1",30,0.274360105647722,"S001","Forehead","Copan","Type 1","remove_count_le_10","Remove count <=10"
"001FhRUSw_2",24,0.448520780308485,"S001","Forehead","Puritan_gel","Type 2","remove_count_le_10","Remove count <=10"
"002AcCUSw",40,2.10653638087882,"S002","Antecubital","Eswab","Type 5","remove_count_le_10","Remove count <=10"
"002AcLUSw_3",111,2.23416173302269,"S002","Antecubital","Puritan_buffer","Type 3","remove_count_le_10","Remove count <=10"
"002AcLUSw_4",73,2.97877561201692,"S002","Antecubital","Omni","Type 4","remove_count_le_10","Remove count <=10"
"002AcRUSw_1",71,1.38111244085614,"S002","Antecubital","Copan","Type 1","remove_count_le_10","Remove count <=10"
"002AcRUSw_2",91,1.82914224309281,"S002","Antecubital","Puritan_gel","Type 2","remove_count_le_10","Remove count <=10"
"002FhCUSw",9,0.0668849530775286,"S002","Forehead","Eswab","Type 5","remove_count_le_10","Remove count <=10"
"002FhLUSw_3",11,0.102480078426711,"S002","Forehead","Puritan_buffer","Type 3","remove_count_le_10","Remove count <=10"
"002FhLUSw_4",8,0.0857335904408302,"S002","Forehead","Omni","Type 4","remove_count_le_10","Remove count <=10"
"002FhRUSw_1",24,0.381161878134954,"S002","Forehead","Copan","Type 1","remove_count_le_10","Remove count <=10"
"002FhRUSw_2",24,0.517646796770658,"S002","Forehead","Puritan_gel","Type 2","remove_count_le_10","Remove count <=10"
"003AcCUSw",97,3.17632915750184,"S003","Antecubital","Eswab","Type 5","remove_count_le_10","Remove count <=10"
"003AcLUSw_3",25,2.28848578242958,"S003","Antecubital","Puritan_buffer","Type 3","remove_count_le_10","Remove count <=10"
"003AcLUSw_4",124,3.71435793940182,"S003","Antecubital","Omni","Type 4","remove_count_le_10","Remove count <=10"
"003AcRUSw_1",124,3.63534328500602,"S003","Antecubital","Copan","Type 1","remove_count_le_10","Remove count <=10"
"003AcRUSw_2",14,2.19032061392344,"S003","Antecubital","Puritan_gel","Type 2","remove_count_le_10","Remove count <=10"
"003FhCUSw",24,1.38693540254792,"S003","Forehead","Eswab","Type 5","remove_count_le_10","Remove count <=10"
"003FhLUSw_3",8,0.18365082824623,"S003","Forehead","Puritan_buffer","Type 3","remove_count_le_10","Remove count <=10"
"003FhLUSw_4",24,0.977105451234426,"S003","Forehead","Omni","Type 4","remove_count_le_10","Remove count <=10"
"003FhRUSw_1",15,0.557551166484019,"S003","Forehead","Copan","Type 1","remove_count_le_10","Remove count <=10"
"003FhRUSw_2",4,0.0722772285522177,"S003","Forehead","Puritan_gel","Type 2","remove_count_le_10","Remove count <=10"
"004AcCUSw",127,3.60884275529021,"S004","Antecubital","Eswab","Type 5","remove_count_le_10","Remove count <=10"
"004AcLUSw_3",210,3.9617993557696,"S004","Antecubital","Puritan_buffer","Type 3","remove_count_le_10","Remove count <=10"
"004AcLUSw_4",230,4.42635881689713,"S004","Antecubital","Omni","Type 4","remove_count_le_10","Remove count <=10"
"004AcRUSw_1",186,4.28196985144289,"S004","Antecubital","Copan","Type 1","remove_count_le_10","Remove count <=10"
"004AcRUSw_2",188,4.15419395587655,"S004","Antecubital","Puritan_gel","Type 2","remove_count_le_10","Remove count <=10"
"004FhCUSw",70,1.14655317260862,"S004","Forehead","Eswab","Type 5","remove_count_le_10","Remove count <=10"
"004FhLUSw_3",110,3.07582470605424,"S004","Forehead","Puritan_buffer","Type 3","remove_count_le_10","Remove count <=10"
"004FhLUSw_4",130,3.22563471180631,"S004","Forehead","Omni","Type 4","remove_count_le_10","Remove count <=10"
"004FhRUSw_1",127,3.04669719292691,"S004","Forehead","Copan","Type 1","remove_count_le_10","Remove count <=10"
"004FhRUSw_2",133,3.36149581190524,"S004","Forehead","Puritan_gel","Type 2","remove_count_le_10","Remove count <=10"
